桶数量,阶数,窗口大小,偏置,错误匹配个数,小于阶数或窗口的数量,参与匹配的数量,匹配正确的数量,匹配正确/参与匹配,
10,1,1000,3000,0,323,1662,92,0.055354994,0.055354994
10,2,1000,3000,0,410,1575,301,0.191111111,0.191111111
10,3,1000,3000,9,505,1471,552,0.375254929,0.372972973
10,4,1000,3000,18,574,1393,780,0.55994257,0.552799433
10,5,1000,3000,37,661,1287,880,0.683760684,0.664652568
10,6,1000,3000,59,726,1200,898,0.748333333,0.713264496
10,7,1000,3000,80,778,1127,908,0.805678793,0.752278376
10,8,1000,3000,111,822,1052,910,0.865019011,0.782459157
10,9,1000,3000,138,871,976,879,0.900614754,0.789048474
10,10,1000,3000,162,913,910,835,0.917582418,0.77891791
20,1,1000,3000,0,323,1662,242,0.145607702,0.145607702
20,2,1000,3000,10,410,1565,566,0.361661342,0.359365079
20,3,1000,3000,40,505,1440,841,0.584027778,0.568243243
20,4,1000,3000,78,574,1333,951,0.713428357,0.673990078
20,5,1000,3000,136,661,1188,967,0.813973064,0.730362538
20,6,1000,3000,190,726,1069,931,0.87090739,0.739475774
20,7,1000,3000,230,778,977,886,0.906857728,0.734051367
20,8,1000,3000,256,822,907,847,0.93384785,0.728288908
20,9,1000,3000,274,871,840,801,0.953571429,0.719030521
20,10,1000,3000,289,913,783,754,0.962962963,0.703358209
30,1,1000,3000,0,323,1662,400,0.240673887,0.240673887
30,2,1000,3000,23,410,1552,760,0.489690722,0.482539683
30,3,1000,3000,69,505,1411,991,0.702338767,0.669594595
30,4,1000,3000,123,574,1288,1047,0.812888199,0.742026931
30,5,1000,3000,180,661,1144,1012,0.884615385,0.764350453
30,6,1000,3000,210,726,1049,953,0.908484271,0.75694996
30,7,1000,3000,236,778,971,909,0.936148301,0.753106877
30,8,1000,3000,271,822,892,865,0.969730942,0.743766122
30,9,1000,3000,289,871,825,811,0.983030303,0.728007181
30,10,1000,3000,297,913,775,769,0.992258065,0.717350746
40,1,1000,3000,2,323,1660,495,0.298192771,0.297833935
40,2,1000,3000,36,410,1539,849,0.55165692,0.539047619
40,3,1000,3000,86,505,1394,1003,0.719512195,0.677702703
40,4,1000,3000,155,574,1256,1041,0.828821656,0.737774628
40,5,1000,3000,200,661,1124,992,0.882562278,0.749244713
40,6,1000,3000,236,726,1023,938,0.916911046,0.745035743
40,7,1000,3000,265,778,942,895,0.950106157,0.741507871
40,8,1000,3000,290,822,873,850,0.973654066,0.730868444
40,9,1000,3000,307,871,807,795,0.985130112,0.713644524
40,10,1000,3000,312,913,760,752,0.989473684,0.701492537
50,1,1000,3000,3,323,1659,522,0.314647378,0.314079422
50,2,1000,3000,49,410,1526,877,0.574705111,0.556825397
50,3,1000,3000,111,505,1369,1016,0.742147553,0.686486486
50,4,1000,3000,166,574,1245,1048,0.841767068,0.742735648
50,5,1000,3000,214,661,1110,986,0.888288288,0.744712991
50,6,1000,3000,248,726,1011,932,0.921859545,0.740270056
50,7,1000,3000,276,778,931,889,0.954887218,0.736536868
50,8,1000,3000,308,822,855,831,0.971929825,0.714531384
50,9,1000,3000,328,871,786,774,0.984732824,0.694793537
50,10,1000,3000,327,913,745,738,0.990604027,0.688432836
60,1,1000,3000,3,323,1659,583,0.351416516,0.35078219
60,2,1000,3000,66,410,1509,922,0.611000663,0.585396825
60,3,1000,3000,121,505,1359,1038,0.763796909,0.701351351
