192.168.100.47.50538>74.125.98.40.443,667745/65536/4265/966046/1710788/65536/65536/61485/
192.168.100.47.50539>74.125.98.40.443,67618/68454/4096/516559/4227/662301/34262/65536/84631/4193/
192.168.100.47.50551>74.125.98.105.443,4096/
192.168.100.47.50552>74.125.98.105.443,663488/65536/
192.168.100.47.50554>74.125.98.40.443,65536/4091/2082/4049/119422/422098/1737356/2064115/2097152/16677/65717/65536/65536/65536/65739/104629/163830/887742/441493/1915977/1395730/1500140/2097152/1726513/2097152/1690429/477565/1508349/2024598/1559560/2097152/1950185/1831786/460898/2097152/1776390/1582764/1427366/2007710/1485541/1387678/286536/1921858/1563174/2097152/488602/1476491/2097152/1768834/1625933/1978596/1584602/2097152/454142/2097152/2097152/1947171/2097152/2097152/449552/2097152/1428687/1665858/1666401/1615760/2097152/2097152/1419521/484326/1839502/1547244/1888008/2097152/2097152/2078944/1785979/466995/2097152/2044852/1895996/1709515/1419383/1930404/1646896/467802/1971389/1725330/1480664/1489565/1667157/2097152/485872/1779771/1646806/2097152/2005882/1571325/490353/1963695/2097152/2097152/1675499/1464082/480138/1432784/2097152/2097152/2097152/2097152/1753647/469775/2097152/2097152/2097152/1269857/1819110/1852838/493155/1341303/1968130/1319440/2097152/1607557/2097152/461108/1655095/1352360/1505129/1541814/1404613/2097152/2097152/495542/1811326/1758386/1695045/1670351/1615925/2097152/2097152/487779/1515731/
192.168.100.47.50633>74.125.98.105.443,4096/4096/1754686/1633786/
192.168.100.47.50636>74.125.98.40.443,4096/1069922/1323904/2097152/493473/2097152/2097152/2097152/2097152/2097152/
192.168.100.47.64264>74.125.98.41.443,66241/
192.168.100.47.64265>74.125.98.41.443,648627/1118131/65536/2084927/96176/205405/2097152/387766/1388532/1599170/2033440/533082/2097152/2097152/2097152/1910456/505441/1781196/1592095/491695/1267801/2097152/2063888/2097152/509137/1977209/2097152/1703026/537534/1906988/2040787/528157/1681207/1890242/1816227/1707236/354398/1844834/1163166/
192.168.100.47.51828>172.217.133.41.443,6387/
192.168.100.47.51853>74.125.167.90.443,934399/1027096/65536/730403/909785/65536/923451/65536/1188002/89468/1586688/2097152/100459/151344/2097152/2097152/278501/1967109/2097152/1946890/436892/2097152/1916076/2097152/1521046/2055957/438682/2039732/1719020/1895684/1670602/2097152/447089/1537361/1662740/2097152/2097152/1929253/449987/1408799/1860037/2097152/2097152/2097152/432300/1420298/2097152/1980795/2097152/2097152/1544615/440594/1439853/2037290/2095220/2097152/2097152/436915/1462954/1592513/1383524/2018574/2097152/439585/1595593/1619614/1980332/1507800/2097152/439788/2097152/1559354/2097152/2097152/444516/1512318/1350532/1306731/2097152/1381136/2097152/457602/1760550/1618734/1487077/2029062/2097152/464486/1453001/1476983/2097152/1542725/1480526/430114/2097152/2026031/2012336/1527062/1830151/436052/1955513/2097152/1379298/1887794/436803/1979677/1269122/2097152/2063807/1967002/450181/1412554/1873355/1265142/1337151/2097152/288417/1355785/1292574/2097152/858324/
192.168.100.47.51854>74.125.167.90.443,66751/
192.168.100.47.65319>196.189.186.18.443,67006/
192.168.100.47.65336>213.55.110.14.443,840657/
192.168.100.47.65337>213.55.110.14.443,69008/1005983/65536/1504133/145951/1994290/205255/1738718/340444/1799058/1693389/500964/2097152/1851755/2097152/491154/1657797/2097152/2097152/1835915/460595/2077891/1358120/1938700/490631/1797158/1558374/2097152/1579713/1833629/480833/1881232/
192.168.100.47.65385>74.125.167.92.443,4096/855550/501594/1597381/2097152/1655939/
192.168.100.47.65388>213.55.110.14.443,4096/1723622/498398/2097152/2097152/2097152/486723/2097152/2097152/1557018/548567/1548286/1619874/501734/1768658/1767648/1633560/528557/1367630/1976294/1449654/2097152/547748/1393094/1974377/2097152/1670989/492643/1879915/2097152/1913330/512577/1650259/1894039/1915016/595665/1654522/1890039/2097152/2097152/477678/1413621/1731072/1524893/1379613/1751200/505504/2097152/2097152/2068824/480923/2097152/1274046/2011449/537429/1744575/2010318/2097152/1822768/1270254/2097152/472518/1583240/2073029/494285/
