192.168.100.47.50538>74.125.98.40.443,669762/66707/968459/1714236/66707/66707/62656/976800/
192.168.100.47.50539>74.125.98.40.443,68811/69678/518378/664318/35411/66707/85877/
192.168.100.47.50554>74.125.98.40.443,66707/120713/423785/1740826/2068025/2101106/17804/66910/66707/66707/66707/66932/105867/165134/890067/443171/1919689/1398760/1503280/2101106/1729961/2101106/1693855/479331/1511511/2028442/1562788/2101106/1953941/1835388/462620/2101106/1779926/1586014/1430418/2011554/1488659/1390664/288016/1925592/1566402/2101106/490346/1479609/2101106/1772348/1629249/1982396/1587874/2101106/455842/2101106/2101106/1950927/2101106/2101106/451252/2101106/1431739/1669240/1669761/1619076/2101106/2101106/1422551/486070/1843104/1550450/1891698/2101106/2044706/2082854/1789515/468717/2101106/2048740/1899664/1712941/1422435/1934138/1650234/469524/1975189/1728778/1483782/1492705/1670539/2101106/487616/1783307/1650144/2101106/2009726/1574553/492119/1967473/2101106/2101106/1678903/1467178/481882/1435836/2101106/2101106/2101106/2101106/1757139/471497/2101106/2101106/2101106/1272711/1822690/1856462/494921/1344245/1971908/1322360/2101106/1610851/2101106/462852/1658455/1355302/1508269/1545020/1407643/2101106/2101106/497308/1814906/1761878/1698449/1673733/1619241/2101106/2101106/489523/1516493/1758178/
192.168.100.47.50636>74.125.98.40.443,1072512/1326802/2101106/495239/2101106/2101106/2101106/2101106/2101106/235200/
192.168.100.47.64265>74.125.98.41.443,650622/1120765/66707/2088881/97391/206775/2101106/389378/1391518/1602464/2037306/534892/2101106/2101106/2101106/1914168/507207/1784710/1595389/493461/1270633/2101106/2067798/2101106/510925/1981009/2101106/1706452/539344/1910678/2044653/529967/1684611/1893910/1819807/1710684/355988/1848436/1165844/
192.168.100.47.51853>74.125.167.90.443,936789/1029597/66707/732529/912131/66707/925841/66707/1190723/90683/1589959/2101105/101697/152648/2101105/2101105/279959/1970886/2101105/1950645/438570/2101105/1919787/2101105/1524207/2059844/440360/2043619/1722467/1899351/1673983/2101105/448789/1540566/1666099/2101105/2101105/1932964/451687/1411828/1863682/2101105/2101105/2101105/433978/1423349/2101105/1984572/2101105/2101105/1547820/442272/1442926/2041155/2099173/2101105/2101105/438593/1466049/1595784/1386531/2022417/2101105/441263/1598864/1622929/1984131/1510961/2101105/441466/2101105/1562581/2101105/2101105/446216/1515501/1353473/1309628/2101105/1384121/2101105/459302/1764041/1622027/1490216/2032927/2101105/466208/1456096/1480100/2101105/1545930/1483643/431792/2101105/2029896/2016179/1530245/1833752/437730/1959268/2101105/1382283/1891483/438481/1983454/1271953/2101105/2067716/1970779/451881/1415583/1877000/1267973/1340070/2101105/289897/1358748/1295427/2101105/860604/
192.168.100.47.65337>213.55.110.14.443,70201/1008463/66707/1507295/147233/1998112/206625/1742188/341990/1802616/1696793/502730/2101106/1855379/2101106/492898/1661157/2101106/2101106/1839517/462339/2081823/1361084/1942434/492375/1800716/1561602/2101106/1582985/1837209/482577/1884900/1804010/7200/
192.168.100.47.65385>74.125.167.92.443,857831/503360/1600653/2101106/1659299/
192.168.100.47.65388>213.55.110.14.443,1727070/500164/2101106/2101106/2101106/488467/2101106/2101106/1560246/550399/1551514/1623190/503500/1772172/1771162/1636876/530367/1370616/1980072/1452750/2101106/549580/1396102/1978155/2101106/1674371/494409/1883583/2101106/1917042/514365/1653619/1897707/1918728/597563/1657882/1893707/2101106/2101106/479422/1416673/1734520/1528077/1382621/1754692/507270/2101106/2101106/2072734/482667/2101106/1276878/2015271/539239/1748067/2014162/2101106/1826348/1273086/2101106/474262/1586490/2076939/496051/
192.168.100.47.51977>74.125.167.88.443,1307375/1860270/68936/1607167/129209/2101106/2101106/220664/2101106/1338471/2101106/2101106/352413/2101106/2101106/1419403/2101106/2101106/529291/2101106/2101106/2101106/1598614/1974141/489793/1622900/2101106/2101106/2101106/2101106/2101106/2101106/497941/1654011/2101106/2101106/1262717/2101106/2101106/1292778/2101106/2101106/499484/2101106/1517599/2101106/2101106/1326595/2101106/2101106/2101106/502645/1968463/1639190/2101106/2101106/1907369/2101106/517299/2101106/2101106/2101106/2101106/2101106/2101106/1835868/524603/2101106/2101106/2101106/1700442/2101106/2101106/1314118/2101106/2101106/521611/2101106/1342972/2101106/2101106/1890630/2101106/2101106/1561101/511473/1663200/18000/
192.168.100.47.52003>74.125.11.230.443,2101106/541405/764541/2101106/353742/1603184/2101106/1346523/512394/1837579/2101106/
192.168.100.47.52010>74.125.167.88.443,2101106/2101106/2101106/1929862/510431/2101106/2101106/2101106/1938268/2101106/2101106/2101106/501345/1323654/2101106/1287877/2101106/2101106/2101106/2101106/515687/2101106/2101106/2101106/1345579/501106/2101106/1660843/2101106/2101106/2101106/1743494/2101106/2101106/506009/2101106/1738317/2101106/2101106/2101106/2101106/1926429/530341/2101106/2101106/1464853/2101106/2101106/2101106/2101106/1869033/512173/2101106/2101106/1395093/2101106/1912766/2004587/499977/2101106/2101106/1284645/2101106/2101106/1462439/2101106/2101106/1348829/534002/2101106/2101106/1263596/2101106/2101106/2101106/1503400/2101106/1737037/509319/2101106/2101106/2101106/2101106/
192.168.100.47.65469>74.125.167.91.443,226221/70412/566392/113131/228238/1215944/389307/1842427/289502/
192.168.100.47.52095>74.125.167.71.443,1406253/1803131/66707/1860764/109727/2101106/210476/2101106/2101106/2101106/374604/2101106/2101106/2101106/2101106/1410944/1704326/517219/2101106/2101106/2101106/2101106/2101106/2101106/2101106/503858/1910660/2101106/1884947/2101106/2101106/2101106/2101106/2101106/1281860/520695/2101106/1700707/1413130/2101106/2101106/530505/2101106/2101106/1959053/1712097/1868578/1833657/2101106/2101106/523831/2010056/1667483/1310327/1599510/1982001/2101106/2101106/534975/2101106/2067057/1831457/2101106/2101106/1268075/2101106/2101106/495748/2101106/2101106/2101106/1832342/2101106/2023537/2062944/549309/1332502/1853593/2101106/2101106/2101106/561706/2101106/2101106/1918941/1760454/2101106/513478/2101106/2101106/2101106/1486135/2101106/2101106/1992634/479161/2101106/1285149/1919922/2101106/2101106/2101106/2101106/2101106/2101106/2101106/512684/2101106/2101106/2101106/1512531/2101106/2101106/2101106/2101106/1716432/484887/2101106/1545767/1534287/2101106/495351/1561577/2101106/2101106/2101106/2101106/499797/2101106/1771693/1825456/2101106/2038841/526445/2101106/2101106/2101106/2101106/1657851/2101106/524056/2101106/2101106/2101106/1642599/1953588/
192.168.100.47.49170>74.125.167.88.443,69053/1091539/2101106/1578752/2101106/2101106/2101106/2101106/499191/2101106/2101106/2101106/2101106/2101106/2101106/2101106/2101106/502690/1308018/2101106/2101106/1559029/2101106/1598488/1837847/517044/1751064/1374388/1576800/7200/
192.168.100.47.49169>74.125.167.88.443,1418572/1065104/66707/1904174/89391/2101106/106935/2035734/2101106/162540/2101106/1647156/336712/1398712/2101106/1645551/1869543/515144/2101106/2101106/1411906/1474945/2101106/489516/2101106/1970967/1786700/1812491/1416073/2101106/494083/2098706/2101106/524040/2101106/2101106/2101106/2101106/2035754/2101106/1845336/2101106/520715/2101106/2101106/2101106/2101106/1842096/1986142/2101106/2101106/2101106/508796/2101106/2101106/2101106/2101106/2101106/2101106/2101106/509625/1580389/2101106/2000701/1546555/1562828/1854801/509934/2025013/2101106/2101106/2101106/2101106/1620092/501226/1744898/2101106/1405048/1303126/2101106/2060872/2101106/506769/1426862/1462601/1353240/2101106/1892187/501031/1751449/2101106/2101106/2101106/2101106/2101106/2101106/500893/1400010/2101106/2101106/2101106/2101106/2101106/2037367/2101106/529232/2101106/2101106/1326153/2101106/1797829/2101106/1928975/2101106/2101106/494942/2101106/2101106/2027294/1650086/1847107/499905/2101106/1628024/2101106/2101106/2101106/2101106/2101106/1594717/533912/1810061/2101106/1950778/1950217/2101106/2101106/2101106/1578308/508822/2101106/2101106/2101106/2101106/
192.168.100.47.52185>74.125.98.8.443,379093/68717/942337/105160/202446/1597043/238188/330900/1714929/2023514/499425/1845795/519972/1897864/476384/2013828/846679/129785/
192.168.100.47.49305>74.125.98.40.443,522671/564526/75080/810171/146445/1476115/203750/2090490/1750641/334481/2101105/1264045/499251/2091328/2101105/1408155/2100397/496943/2101105/1396441/2101105/513996/1937463/1539515/2074648/497730/2101105/1463755/2101105/1381199/517089/2101105/2101105/1365788/2012933/516029/2101105/2101105/1388776/506951/2020629/2098705/2101105/186211/1800755/
192.168.100.47.52268>74.125.98.6.443,864705/83579/1365302/143604/1383140/1649317/370630/2101106/2101106/390972/2034083/2101106/1389283/2101106/559280/2101106/1975881/531594/1765131/1671032/1509575/2101106/540142/2101106/1933496/2101106/562874/1540061/1932785/2101106/552083/1945057/1432265/1931822/530066/1709282/2101106/1880378/509023/1717989/1584883/575361/1754213/1943448/1074360/
